epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.312,0.33782,0.41117,0.5464,0.85782,0.99887,0.99581,0.99495,0.97612,0.99907,0.996,0.995,0.98039,0.24385,0.27114,0.27971,0.7864,0.000665333,0.000665333,0.000665333
2,392.699,0.30441,0.31021,0.29062,0.84631,0.99935,0.9992,0.995,0.98471,0.99935,0.9992,0.995,0.98799,0.21033,0.18915,0.19344,0.7823,0.00126607,0.00126607,0.00126607
3,586.305,0.28339,0.27449,0.25152,0.84188,1,0.99994,0.995,0.99038,1,0.99994,0.995,0.99131,0.1733,0.16887,0.16371,0.76942,0.0018008,0.0018008,0.0018008
4,776.193,0.27395,0.26482,0.23508,0.84055,0.99996,1,0.995,0.99179,0.99996,1,0.995,0.98993,0.17156,0.18681,0.15842,0.76955,0.001703,0.001703,0.001703
5,961.07,0.25403,0.25065,0.21637,0.83619,0.99866,1,0.995,0.99059,0.99866,1,0.995,0.99045,0.18798,0.17841,0.15262,0.7727,0.001604,0.001604,0.001604
6,1146.2,0.23742,0.23306,0.20003,0.83198,0.99995,1,0.995,0.99351,0.99995,1,0.995,0.992,0.14905,0.16134,0.15459,0.76568,0.001505,0.001505,0.001505
7,1335.64,0.23197,0.23414,0.19349,0.83161,0.99999,1,0.995,0.99358,0.99999,1,0.995,0.99261,0.13404,0.16039,0.11517,0.76302,0.001406,0.001406,0.001406
8,1536.36,0.21861,0.21685,0.18062,0.8283,0.99995,1,0.995,0.9939,0.99995,1,0.995,0.99354,0.12021,0.12958,0.10751,0.76146,0.001307,0.001307,0.001307
9,1732.9,0.21526,0.21679,0.17564,0.82767,0.99996,1,0.995,0.99376,0.99996,1,0.995,0.99358,0.1236,0.13709,0.10617,0.76177,0.001208,0.001208,0.001208
10,1925.29,0.20699,0.20755,0.16905,0.82615,0.99999,1,0.995,0.99456,0.99999,1,0.995,0.99377,0.12117,0.13383,0.10579,0.76075,0.001109,0.001109,0.001109
11,2134.3,0.1635,0.15886,0.14395,0.7882,0.99995,1,0.995,0.99407,0.99995,1,0.995,0.99365,0.12126,0.1307,0.10795,0.76153,0.00101,0.00101,0.00101
12,2307.48,0.15449,0.15638,0.13195,0.78589,0.99999,1,0.995,0.99426,0.99999,1,0.995,0.99377,0.11314,0.12833,0.09941,0.75946,0.000911,0.000911,0.000911
13,2480.03,0.14638,0.14754,0.12384,0.78309,0.99996,1,0.995,0.99463,0.99996,1,0.995,0.99398,0.10635,0.1211,0.09456,0.75896,0.000812,0.000812,0.000812
14,2653.2,0.13745,0.14111,0.1176,0.7812,0.99997,1,0.995,0.99452,0.99997,1,0.995,0.99442,0.11336,0.11756,0.09365,0.75877,0.000713,0.000713,0.000713
15,2824.85,0.1315,0.13733,0.11104,0.78112,0.99998,1,0.995,0.99453,0.99998,1,0.995,0.99426,0.10163,0.12386,0.08407,0.75765,0.000614,0.000614,0.000614
16,2997.57,0.12458,0.13575,0.10443,0.78004,0.99999,1,0.995,0.99465,0.99999,1,0.995,0.99463,0.0898,0.11007,0.07774,0.75626,0.000515,0.000515,0.000515
17,3169.43,0.11861,0.13224,0.09907,0.77786,0.99998,1,0.995,0.99464,0.99998,1,0.995,0.99458,0.0872,0.1089,0.07311,0.75578,0.000416,0.000416,0.000416
18,3341.67,0.11107,0.12801,0.09128,0.77829,0.99999,1,0.995,0.99474,0.99999,1,0.995,0.99461,0.08207,0.10476,0.06952,0.75539,0.000317,0.000317,0.000317
19,3513.71,0.10559,0.12451,0.0872,0.77554,0.99999,1,0.995,0.99479,0.99999,1,0.995,0.99468,0.07687,0.10227,0.06559,0.75476,0.000218,0.000218,0.000218
20,3686.26,0.09843,0.12147,0.08091,0.77534,0.99999,1,0.995,0.99476,0.99999,1,0.995,0.99472,0.07286,0.10104,0.06081,0.7544,0.000119,0.000119,0.000119
